track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,spotify_track_id,spotify_preview_url,spotify_album_cover_url,spotify_artist_image_url
Die For You - Remix,"Ariana Grande, The Weeknd",2,2023,2,24,3408,47,518745108,87,86,74,1,16,67,C#,Minor,53,50,53,23,0,44,7,,,,https://i.scdn.co/image/ab6761610000e5eb456c82553e0efcb7e13365b1
El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,2023,6,2,1298,38,107753850,44,64,57,10,110,106,A#,Minor,72,17,64,7,0,10,5,,,,https://i.scdn.co/image/ab67616d0000b273863ba79db0ee1318cc5e53a9
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,2023,4,6,4277,66,177740666,145,111,213,11,810,128,G,Major,60,23,91,0,0,12,3,3BKD1PwArikchz2Zrlp1qi,https://p.scdn.co/mp3-preview/a8f2e176e17e0f6298b42ef8e96118318fdd2b89?cid=6c77115735724c94af0b7a434aef3fc3,https://i.scdn.co/image/ab67616d0000b2730b4ef75c3728599aa4104f7a,https://i.scdn.co/image/ab6761610000e5ebd0448096d85094a6ec5e8fab
AMARGURA,Karol G,1,2023,2,24,1133,39,153372011,14,71,23,10,176,107,F#,Minor,92,55,70,18,0,15,7,505v13epFXodT9fVAJ6h8k,,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335,https://i.scdn.co/image/ab6761610000e5ebeb97a2403d7b9a631ce0f59c
(It Goes Like) Nanana - Edit,Peggy Gou,1,2023,6,15,2259,59,57876440,0,0,109,17,0,130,G,Minor,67,96,88,12,19,8,4,23RoR84KodL5HWvUTneQ1w,https://p.scdn.co/mp3-preview/e36e0bd4714844f1f9d992398b41a3e333f15cc9?cid=6c77115735724c94af0b7a434aef3fc3,https://i.scdn.co/image/ab67616d0000b27388d71aadd009fe1a83df88f2,https://i.scdn.co/image/ab6761610000e5ebdf5c17aa075c03c5c4d2c693
Another Love,Tom Odell,1,2012,10,15,18371,83,1813673666,250,122,"3,394",19,,123,E,Minor,45,13,54,70,0,9,4,3JvKfv6T31zO0ini8iNItO,https://p.scdn.co/mp3-preview/0369cb748bc968ffd34fb4ac60f5403f2aad032f?cid=6c77115735724c94af0b7a434aef3fc3,https://i.scdn.co/image/ab67616d0000b2731917a0f3f4152622a040913f,https://i.scdn.co/image/ab6761610000e5eb532e8dd8ba9fbd5e78105a78
Blinding Lights,The Weeknd,1,2019,11,29,43899,69,3703895074,672,199,"3,421",20,,171,C#,Major,50,38,80,0,0,9,7,0VjIjW4GlUZAMYd2vXMi3b,,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,https://i.scdn.co/image/ab6761610000e5eb214f3cf1cbe7139c1e26ffbb
Moonlight,Kali Uchis,1,2023,2,24,2649,42,256483385,67,79,57,1,615,137,G,Minor,64,88,72,51,0,17,5,0JmnkIqdlnUzPaf8sqBRs3,,https://i.scdn.co/image/ab67616d0000b27381fccd758776d16b87721b17,https://i.scdn.co/image/ab6761610000e5eb51dfdac248da65a860963b68
La Bachata,Manuel Turizo,1,2022,5,26,6804,45,1214083358,139,111,161,15,210,125,G,Minor,84,85,68,58,0,22,4,5ww2BF9slyYgNOk37BlC4u,https://p.scdn.co/mp3-preview/0232b53fd7849e6696e1ab3099dd01dd00823f17?cid=6c77115735724c94af0b7a434aef3fc3,https://i.scdn.co/image/ab67616d0000b273c9f744b0d62da795bc21d04a,https://i.scdn.co/image/ab6761610000e5ebabd3e69b432d6187cf4e28c3
S91,Karol G,1,2023,7,14,525,41,16011326,34,115,39,6,216,128,,Minor,86,42,72,59,0,9,19,7EpOXgSRgnglRWr86pZfGU,,https://i.scdn.co/image/ab67616d0000b273890cfb712167a0186918644e,https://i.scdn.co/image/ab6761610000e5ebeb97a2403d7b9a631ce0f59c
